title,description,keywords,url
Science and Religion - An Overview,A lecture given by Prof. John Bryant as part of Short Course 17: Science and Religion in Schools,bryant; course; faraday institute; john; overview; religion; schools; science; short,https://sms.cam.ac.uk/media/751298
Science and Religion: An Overview,Talk given by Prof. John Bryant as part of Short Course 3: Science and Religion for Church Leaders,bryant; church; faraday; overview; religion; science,https://sms.cam.ac.uk/media/2723960
Science and Religion: Belief or Commitment?,Research Seminar given by Prof. Peter Lipton,belief; commitment; faraday; lipton; religion; science,https://sms.cam.ac.uk/media/1292935
Science and Religion: Clash of Worldviews?,Talk given by Dr Mark Harris as part of Summer Course 11,clash; conflict; faraday; harris; religion; science; worldview,https://sms.cam.ac.uk/media/2281046
Science and Religion: Friends or Foes?,"Panel Discussion between Dr Usama Hasan, Prof. John Hedley Brooke, Revd Dr Rodney Holder and Revd Dr John Polkinghorne, chaired by Dr Denis Alexander as part of the Festival of Ideas on 29th October 2011",brooke; faraday; festival; foe; friend; hasan; holder; ideas; panel; polkinghorne; religion; science,https://sms.cam.ac.uk/media/1183918
Science and Religion: How do we know what we know,"Talk given by Chris Oldfield as part of Hull day course, February 2016",faraday; hull; knowledge; oldfield; philosophy; religion; science,https://sms.cam.ac.uk/media/2217212
Science and Religion in Colonial India - A Historical Perspective,Research seminar given by Dr John Bosco Lourdusamy on 31st May 2011,bosco; colonial; faraday; historical; history; india; lourdusamy; perspective; religion; science; seminar,https://sms.cam.ac.uk/media/1146857
Science and Religion in Islam Today - A Critical Survey,Research Seminar given by Prof. Nidhal Guessoum on 3rd May 2011,critical; faraday; guessoum; islam; nidhal; religion; science; seminar; survey,https://sms.cam.ac.uk/media/1139053
Science and Religion in Science Journalism,Talk given by Dr Michael Brooks as parr of short course 2,brooks; faraday; journalism; religion; science,https://sms.cam.ac.uk/media/1273948
Science and Religion in the Life of Robert Boyle,Research seminar given by Prof. Ted Davis,boyle; davis; faraday; life; religion; science,https://sms.cam.ac.uk/media/1219664
Science and Religion in the Public Domain,Research Seminar given by Prof. Roger Trigg,domain; faraday; public; religion; science; trigg,https://sms.cam.ac.uk/media/1272199
Science and Religion on the Radio,Talk given by Martin Redfern as part of short course 2,faraday; radio; redfern; religion; science,https://sms.cam.ac.uk/media/1273590
Science and Religion or Science and Theology,Research Seminar given by Prof. Michael Welker,faraday; religion; science; theology; welker,https://sms.cam.ac.uk/media/1219637
Science and Religion: The context for debate,Talk given by Prof. Grace Davie,davie; debate; faraday; religion; science,https://sms.cam.ac.uk/media/2660534
Science and religion: what are the issues?,Talk given by Dr Andrew Davison as part of short course 33 (Science and Religion in the Local Church),church; davison; faraday; issues; religion; science,https://sms.cam.ac.uk/media/2155537
Science and Religion with Children and Young People,Talk given by Lizzie Henderson and Dave Gregory as part of short course 38: Science and Faith in the Local Church,children; church; faith; faraday; gregory; henderson; religion; school; science; youth,https://sms.cam.ac.uk/media/2435061
Science and Sacred Texts: Ways of Reading,"Talk given by Dr Caroline Tee as part of Short Course 40, Reading the World: Science and Sacred Texts",bible; christianity; faraday; islam; miracles; muslim; qur'an; religion; science; tee,https://sms.cam.ac.uk/media/2490845
Science and Special Divine Action,Research Seminar given by Dr Andrew Pinsent on 4th November 2015.,faraday; pinsent; religion; science,https://sms.cam.ac.uk/media/2103239
Science and the Bible: Are they incompatible? The creation story as a test case,Public Lecture by Revd Dr Ernest Lucas,bible; creation; faraday; incompatible; lucas; religion; science; science; test,https://sms.cam.ac.uk/media/1212983
Science and the Bible: Genesis 1,Talk given by Revd Dr Ernest Lucas as part of Summer Course 10,bible; creation; faraday; genesis; lucas; religion; science,https://sms.cam.ac.uk/media/2033972
Science and the Bible: Genesis 2-3,Talk by Revd Dr Ernest Lucas as part of Summer Course 10,bible; creation; fall; faraday; genesis; lucas; religion; science,https://sms.cam.ac.uk/media/2038057
Science and the dating of the Easter week events,Research seminar given by Prof. Sir Colin Humphreys,dating; easter; faraday; humphreys; religion; science,https://sms.cam.ac.uk/media/1217181
Science and the Hiddenness of God,Research Seminar by Prof. Wilson Poon,faraday; god; hiddenness; poon; religion; science,https://sms.cam.ac.uk/media/1268386
Science and the Indian Tradition: When Einstein met Tagore,Research seminar  given by Dr David Gosling on 24th January 2012,einstein; faraday; gosling; indian; religion; science; tagore; tradition,https://sms.cam.ac.uk/media/1207934
Science and the Investigation of New Testament Documents,Research Seminar given by Dr Dirk Jongkind on Tuesday 5th February 2013,faraday; jongkind; new testament; religion; science,https://sms.cam.ac.uk/media/1410424
Science and the Question of Miracles,Talk given by Prof. Colin Humphreys as part of short course 4,faraday; humphreys; miracles; question; religion; science,https://sms.cam.ac.uk/media/1262707
Science and the Reliability of the Bible,Public Lecture given by Sir Colin Humphreys,bethlehem; bible; christianity; faraday; humphreys; joshua; reliability; religion; science; star,https://sms.cam.ac.uk/media/2760790
Science and the Star of Bethlehem,Talk given by Prof. Sir Colin Humphreys as part of short course 9,bethlehem; faraday; humphreys; religion; science; star,https://sms.cam.ac.uk/media/1223531
Science and worship,Lecture given by Dr Ruth Bancewicz as part of short course 33 (Science and Faith in the Local Church),awe; bancewicz; faraday; religion; science; wonder; worship,https://sms.cam.ac.uk/media/2171085
"Science, Faith and Postmodernism",Talk given by Prof. Roger Trigg as part of summer course 1,faith; faraday; postmodernism; religion; science; trigg,https://sms.cam.ac.uk/media/1275485
"Science, Faith and Reason",Lecture given by Prof. Stephen Williams as part of Summer Course 5,5; faith; faraday institute; prof; reason; religion; science; stephen; summer course; williams,https://sms.cam.ac.uk/media/868106
"Science, Faith and Reason",Talk given by Prof. Stephen Williams as part of summer course 5,faith; faraday; reason; religion; science; williams,https://sms.cam.ac.uk/media/1217155
"Science, Faith and the Moral Maze",Talk given by Prof. David Cook as part of short course 2,cook; faith; faraday; maze; moral; morality; religion; science,https://sms.cam.ac.uk/media/1265541
Science Fiction and Religion,"Talk given by Dr Beth Singler as part of Short Course 36: Robots, Reality and Religion",artificial intelligence; faraday; religion; robot; science; science fiction; singler,https://sms.cam.ac.uk/media/2356912
"Science, God and Ockham's Razor: Can Science Explain God Away?","Research Seminar given by Dr David Glass, 17 May 2016",away; explain; faraday; glass; god; occam; ockham; razor; religion; science,https://sms.cam.ac.uk/media/2244918
Science or Religion: Do we have to choose?,Talk given by Prof. Alister McGrath as part of Summer Course 10,choose; debate; faraday; mcgrath; religion; science,https://sms.cam.ac.uk/media/2033790
"Science, Religion and Creativity: A Personal View",Research seminar given by Prof. Eric Priest,creativity; faraday; priest; religion; science,https://sms.cam.ac.uk/media/1252709
"Science, Religion and the New Atheism",Talk given by Prof. Alister McGrath as part of summer couser 7,atheism; faraday; mcgrath; religion; science,https://sms.cam.ac.uk/media/1291778
"Science, Religion and the Search for Extra-Terrestial Intelligence","Talk given by Prof David Wilkinson at Summer Course 9, 2014",extra-terrestial; faraday; religion; science; wilkinson,https://sms.cam.ac.uk/media/1771375
"Science, Secularism and Enlightenment: The historical origins of a modern mythology",Lecture given by Dr Allan Chapman as part of Summer Course 6,6; chapman; enlightenment; faraday; historical; modern; myth; origin; religion; science; secularism,https://sms.cam.ac.uk/media/1160434
"Science, the Bible and Human Origins",Talk given by Revd Dr Ernest Lucas as part of Short Course 40: Reading the World: Science and Sacred Texts,bible; faraday; genesis; human; lucas; religion; science; theology,https://sms.cam.ac.uk/media/2521223
"Science, the Environment and the Qur'an","Talk given by Harfiyah Haleem as part of Short Course 40, Reading the World: Science and Sacred Texts",environment; faraday; haleem; islam; muslim; qur'an; religion; science,https://sms.cam.ac.uk/media/2473255
Science vs Religion?  The Origins of the Conflict Thesis,Talk given by Prof. John Hedley Brooke as part of summer course 7,brooke; conflict; faraday; history; origin; religion; science,https://sms.cam.ac.uk/media/1290145
Scientific and Religious Definitions of a Human: Their Impact on Human Rights,Reaserch Seminar by Prof. John Evans,definitions of a human; evans; faraday institute; human rights; religion; science,https://sms.cam.ac.uk/media/2361721
Scientific Exegesis of the Qur'an: Bint al-Shati's Critique of Mustafa Mahmud,Faraday Research Seminar given by Dr Shuruq Naguib,bint al-shati; exegesis; faraday institute; naguib; qur'an; science,https://sms.cam.ac.uk/media/2404390
Scientific Explanations of Religious Experience and their Implications for Belief,Research Seminar given by Revd Dr Patrick Richmond on 26 January 2010,belief; experience; explanations; faraday institute; implications; patrick; religion; religious; research seminar; richmond; science,https://sms.cam.ac.uk/media/732814
Scientism and the limits of science,Talk given by Prof. Rene van Woudenberg at the Summer Course 2018,faraday; philiosophy; religion; scientism; van woudenberg,https://sms.cam.ac.uk/media/2786124
Scientism: how much faith should we put in science?,Public lecture given by Prof. Ian Hutchinson,faith; faraday; hutchinson; religion; science; scientism,https://sms.cam.ac.uk/media/1329651
Should the word 'nature' be eliminated?  A Historical Survey,Research seminar given by Prof. John Hedley Brooke,brooke; concept; eliminated; faraday; heldey; historical; history; nature; religion; science,https://sms.cam.ac.uk/media/1222400
Sifting and Winnowing for the Truth: Climate Change in an Age of Deception,Talk given by Prof. Calvin DeWitt as part of short course 11,climate; deception; environment; faraday; religion; science; sifting; truth; winnowing,https://sms.cam.ac.uk/media/1216541
Sir Arthur Eddington (1882-1944):Relativity and Dogma,Talk given by Dr Jason Rampelt as part of summer course 2,dogma; eddington; faraday; rampelt; relativity; religion; science,https://sms.cam.ac.uk/media/1232050
Social Implications and the Future of Work,Talk given by Prof. Nigel Cameron as part of short course 36,cameron; faraday; human; identity; religion; robot; science,https://sms.cam.ac.uk/media/2334042
Spirituality and Sustainability,"Talk given by Satish Kumar as part of the Sustainability in Crisis Conference, 27th September 2011",crisis; faraday; kumar; religion; science; spirituality; sustainability,https://sms.cam.ac.uk/media/1181460
Stem Cells and Healing,Research seminar given by Prof. Susan Kimber,biology; embryonic; ethics; faraday; healing; human; kimber; medicine; religion; science; stem cells,https://sms.cam.ac.uk/media/1641350
Stem Cells in Research and in the Clinic,Talk given by Prof. John Bryant as part of Short Course No. 10: Ethics on the Frontiers of Science: Religion – Help or Hindrance?,bryant; ethics; faraday; religion; science; stem cells,https://sms.cam.ac.uk/media/2756464
Stem Cells: Playing God Again?,"Lecture given by Prof. Bill Hurlbut, Prof. Brian Heap and Dame Onora O'Neill in 2007",biology; faraday; god; heap; hurlbut; o'neill; religion; reproduction; science; stem cells,https://sms.cam.ac.uk/media/2734259
Stephen Hawking introduces Let Newton Be!,Introduction to the play 'Let Newton Be' by Stephen Hawking,faraday; hawking; newton; religion; science; stephen,https://sms.cam.ac.uk/media/2700484
Sustainability of the Non-Human World,Talk given by Prof. Sir Ghillean Prance as part of Summer Course 1,environment; faraday; non-human; prance; religion; science; sustainability,https://sms.cam.ac.uk/media/2719552
Sustainable Climate and Energy Use,Lecture given by Sir John Houghton as part of short course 11.,11; climate; course; energy; faraday institute; houghton; john; religion; science; short; sustainable; use,https://sms.cam.ac.uk/media/1063936
Sustainable Consumption,"Lecture given by Bill McKibben as part of the Sustainability in Crisis Conference, 27th September 2011",consumption; crisis; faraday; mckibben; religion; science; sustainability; sustainable,https://sms.cam.ac.uk/media/1180044
Sustainable Consumption Panel Discussion,"Panel discussion between Tom Crompton, Satish Kumar and Ruth Valerio, joined by Bill McKibben as part of the Sustainability in Crisis Conference, 27th September 2011",consumption; crisis; crompton; faraday; kumar; panel; religion; science; sustainability; sustainable,https://sms.cam.ac.uk/media/1180469
Sustainable Development - Is Religion Relevant?,Research Seminar given by Prof. Jan Boersema on 9th March 2010,boersema; development; faraday institute; jan; relevant; religion; research seminar; science; sustainable,https://sms.cam.ac.uk/media/745726
Sustainable Growth?,Lecture given by Paul Ekins and Ann Pettifor as part of the Sustainability in Crisis Conference on 26th September 2011,crisis; ekins; faraday; growth; pettifor; religion; science; sustainability; sustainable,https://sms.cam.ac.uk/media/1177937
Sustainable Growth Panel Discussion,"Panel Discussion between Tim Cooper, Mawil Izzi Dien and Lazslo Zsolnai, joined by Paul Ekins and Ann Pettifor as part of the Sustainability in Crisis Conference, 26th September 2011",cooper; crisis; discussion; faraday; growth; izzi dien; panel; religion; science; sustainability; sustainable; zsolnai,https://sms.cam.ac.uk/media/1178899
Sustainable Production,"Lecture given by Juliet Davenport as part of the Sustainability in Crisis Conference, 27th September 2011",crisis; davenport; faraday; production; religion; science; sustainability; sustainable,https://sms.cam.ac.uk/media/1181238
Sustainable Production Panel Discussion,"Panel Discussion between Cal Bailey, Harfiyah Haleem and Roy Tindle as part of the Sustainability in Crisis Conference, 27th September 2011",bailey; crisis; faraday; haleem; panel; production; religion; science; sustainability; sustainable; tindle,https://sms.cam.ac.uk/media/1181412
Sustaining Ethical Life in the Anthropocene,Talk given by Prof. Michael Northcott as part of the Unsustainability Day Conference,anthropocene; ethical; faraday; life; northcott; religion; science; sustaining; theology; unsustainability,https://sms.cam.ac.uk/media/1218991
Take ten: the religious beliefs of ten famous scientists,"Talk by Prof. Bob White at the Faraday Short Course 24, An Introduction to Science and Religion 22nd - 24th March 2013",faraday; religion; science; scientists; white,https://sms.cam.ac.uk/media/1468521
The Anthropic Principle,Talk given by Revd Dr Polkinghorne as part of short course 4,anthropic; faraday; polkinghorne; principle; religion; science,https://sms.cam.ac.uk/media/1262491
The Anthropic Principle: A Theological Perspective,A lecture given by Prof. Ernan McMullin as part of Faraday Institute Summer Course 4,anthropic; ernan; faraday institute; mcmullin; perspective; principle; religion; science; theological,https://sms.cam.ac.uk/media/653845
The Bible and Biology,Talk given by Dr Hilary Marlow as part of short course 34 (Biology and Belief),belief; bible; biology; faraday; marlow; religion; science,https://sms.cam.ac.uk/media/2183606
The Bible and Human Origins,Talk given by Dr Mark Harris as part of Summer Course 11,bible; faraday; harris; human; origins; religion; science,https://sms.cam.ac.uk/media/2319392
The Bible and Science,Talk given by Dr Hilary Marlow as part of short course 33 (Science and Faith in the Local Church),bible; church; faraday; marlow; religion; science,https://sms.cam.ac.uk/media/2177729
The Bible and the Emergence of Modern Science,Public Lecture given by Prof. Peter Harrison,bible; emergence; faraday; harrison; modern; religion; science,https://sms.cam.ac.uk/media/1212958
The Bible Ethics of Creation Care,Talk given by Dr Hilary Marlow at the Summer Course 2018,bible; creation care; environment; faraday; marlow; religion; science,https://sms.cam.ac.uk/media/2816983
"The Bible, Science and Creation",Public Lecture give by Revd Dr Ernest Lucas on 28 May 2014,bible; creation; faraday; genesis; lucas; religion; science,https://sms.cam.ac.uk/media/1726687
"The Bible, the Creation and the Inner Light: Tensions within Quaker Science",Research seminar given by Prof. Geoffrey Cantor,bible; cantor; creation; faraday; inner; light; quaker; religion; science; tension,https://sms.cam.ac.uk/media/1295410
The Brain as a Neuronal Machine,Lecture given by Prof. Peter Clarke as part of Summer Course 6,6; brain; clarke; faraday; machine; neuronal; religion; science,https://sms.cam.ac.uk/media/1164009
"The Brain, Free Will and Determinism",Talk given by Dr Harvey McMahon FRS as part of Summer Course 12,brain; determinism; faraday; free will; mcmahon; mind; religion; science,https://sms.cam.ac.uk/media/2560563
The Cambrian Explosion,Talk given by Prof. Simon Conway Morris as part of short course 7,cambrian; conway morris; explosion; explosion; faraday; religion; science,https://sms.cam.ac.uk/media/1229836
The Challenge of Global Climate Change,Talk given by Prof. Bob White as part of short course 6,challenge; change; climate; faraday; religion; science; white,https://sms.cam.ac.uk/media/1253211
The Church Community in Disaster Recovery,"Talk given by Revd Ken Taylor at the Disasters, Faith and Resilience Course",disasters; faith; faraday; hurricane katrina; new orleans; taylor,https://sms.cam.ac.uk/media/2736820
The Colour of Disaster: New Orleans and Hurricane Katrina,Research Seminar given by Revd Dr Roger Abbott,abbott; colour; disaster; environment; faraday; hurricane; new orleans; race; religion; science,https://sms.cam.ac.uk/media/2719688
The concept of Emergence in the dialogue between science and theology,Research Seminar given by Ross McKenzie,emergence; faraday; mckenzie; research seminar; ross; science; theology,https://sms.cam.ac.uk/media/522662
The Concept of the Person in Judaism,"Research Seminar given by Dr Daniel Weiss, Tuesday 29th October 2013",faraday; judaism; religion; science; weiss,https://sms.cam.ac.uk/media/1597784
The Creation Narratives in Genesis 1-3,Lecture given by Revd Dr Ernest Lucas as part of Summer Course 6,6; creation; faraday; genesis; lucas; religion; science,https://sms.cam.ac.uk/media/1161816
The Denial and Misinformation Industry,Talk given by Dr Jim McCarthy as part of the Unsustainability Day Conference,denial; faraday; industry; mccarthy; misinformation; religion; science; unsustainability,https://sms.cam.ac.uk/media/1217561
The Ecological Vision of the Christian Scriptures,Talk given by Dr Jonathan Moo at Summer Course 12 - 2017,christian; creation care; ecology; environment; faraday institute; god; moo,https://sms.cam.ac.uk/media/2565446
The Emergence of Human Persons: Between the Scylla of Dualism and the Charybdis of Reductionism,Research Seminar given by Prof. Tim O'Connor on 28th May 2013,dualism; emergence; faraday; reductionism; religion; science,https://sms.cam.ac.uk/media/1489914
"The ""End"" of Love: Evolutionary Psychology, Altruism and Human Flourishing",Talk given by Prof. Jeff Schloss as part of Summer Course 1,altruism; end; evolution; evolutionary; faraday; flourishing; human; love; psychology; purpose; religion; schloss; science,https://sms.cam.ac.uk/media/1267703
The Environment and Poverty,Talk given by Dr Paula Clifford as part of short course 1,clifford; environment; faraday; poverty; religion; science,https://sms.cam.ac.uk/media/1295730
The Environment - Ethical and Religious Issues,"Talk given by Revd Dave Bookless at Summer Course 9, 2014",bookless; environment; faraday; religion; science,https://sms.cam.ac.uk/media/1792163
The environment: what hope do we have for life on a fragile planet?,"Talk given by Revd Margot Hodson Friday 12 July at Summer Course 8, 7-13 July 2013",environment; faraday; hodson; religion; science,https://sms.cam.ac.uk/media/1608925
The Ethics of Cognitive Enhancement: A Theological Perspective,"Research Seminar given by Prof. Neil Messer (University of Winchester), 26 May 2015",brain; congitive; enhancement; faraday; messer; neuroscience; religion; science; theological; theology,https://sms.cam.ac.uk/media/1993690
The Ethics of Food Production and Genetically Modified Crops,Talk given by Prof. Joe Perry as part of short course 10,crops; ethics; faraday; food; genetic modification; gm; perry; production; religion; science,https://sms.cam.ac.uk/media/1220315
The Ethics of Human Enhancement,Research Seminar given by Prof. Robin Gill,enhancement; ethics; faraday; gill; human; religion; science,https://sms.cam.ac.uk/media/1209789
The Ethics of Stem Cell Research and Cloning,"Talk given by Prof. John Bryant as part of the Church Leaders' Course, 2007",bryant; church; cloning; ethics; faraday; religion; science; stem cells,https://sms.cam.ac.uk/media/2756413
The Ethics of Withholding Treatment and Virtue Theory,"Talk given by Prof. David Jones as part of the joint Faraday Institute and Woolf Institute day conference ""Extending life at any cost?""",end of life; faith; faraday; jones; science; woolf institute,https://sms.cam.ac.uk/media/2674278
The Evolution of Cooperation,Public lecture given by Prof. Martin Nowak,cooperation; evolution; faraday; nowak; religion; science,https://sms.cam.ac.uk/media/1260618
The Evolution of Morality,Research Seminar given by Dr David Lahti on 15h November 2011,evolution; faraday; lahti; morality; religion; science; seminar,https://sms.cam.ac.uk/media/1188499
The Evolution of Religion and the Religion of Evolution,Talk given by Prof. Jeff Schloss as part of summer course 1,evolution; faraday; religion; schloss; science,https://sms.cam.ac.uk/media/1267294
The Evolution of Religious Brains,"A lecture given by Dr Justin Barrett as part of The Faraday Institute Short Course 15, Neurosciences and Religion",barrett; brains; evolution; faraday institute; justin; religion; religious; science,https://sms.cam.ac.uk/media/651435
The Faiths of Scientists in the UK and US,"Talk given by Prof Elaine Ecklund at Summer Course 9, 2014",ecklund; faraday; religion; science,https://sms.cam.ac.uk/media/1795457
The Fallacy of Scientism as a Worldview,Talk given by Prof. Mikael Stenmark as part of summer course 1,fallacy; faraday; materialism; religion; science; scientism; stenmark; worldview,https://sms.cam.ac.uk/media/1276714
"The Florentine Heretic? Galileo, the Church and the Cosmos",Talk given by Prof. David Lindberg as part of summer course 1,catholic; church; cosmos; faraday; florence; florentine; galileo; heretic; history; lindberg; religion; science,https://sms.cam.ac.uk/media/1292527
The Future of the Science-Religion Debate,Research seminar given by Revd Dr John Polkinghorne,debate; faraday; future; polkinghorne; religion; science,https://sms.cam.ac.uk/media/1221958
The Genetic Code,Talk given by  Prof Stephen Freeland as part of short course 34 (Biology and Belief),chance; evolution; exoplanet; faraday; freeland; genetics; religion; science,https://sms.cam.ac.uk/media/2182720
The Genetics of Human Behaviour,Talk given by Dr David Lahti as part of summer course 7,behaviour; faraday; genetics; human; lahti; religion; science,https://sms.cam.ac.uk/media/1279364
The Genius of Michael Faraday,Research Seminar given by Sir John Meurig Thomas on 20th November 2012,faraday; john meurig thomas; michael faraday; religion; science,https://sms.cam.ac.uk/media/1350135
"The God of Small Things: Nanotechnology, Creation and God","Public lecture given by Prof. Russell Cowburn, 7 May 2015",cowburn; creation; faraday; god; nanotechnology; physics; religion; science; small; theology,https://sms.cam.ac.uk/media/1978805
The Historical Background to the Science - Religion Debate,Talk given by Dr Denis Alexander as part of summer course 1,alexander; debate; faraday; historical; history; religion; science,https://sms.cam.ac.uk/media/1293265
The Historical Roots of Modern Science,"Talk given by Prof John Hedley Brooke at Summer Course 9, 8th July 2014.",brooke; faraday; history; religion; science,https://sms.cam.ac.uk/media/1771203
The Historical Roots of Scientific Reductionism,Talk given by Dr Allan Chapman as part of summer course 7,chapman; faraday; historical; history; origin; reductionism; religion; science; scientific,https://sms.cam.ac.uk/media/1290909
The Human Embryo: Reassessing Theological Approaches in the Light of Scientific Advance,Talk given by Prof. Gareth Jones as part of short course 10,advance; advances; embryo; ethics; faraday; human; jones; religion; science; theology,https://sms.cam.ac.uk/media/1221759
The Idea of Law in Science and Religion,Talk given by Dr Lydia Jaeger as part of Summer Course 1,faraday; jaeger; law; religion; science,https://sms.cam.ac.uk/media/2719271
The Impact of Einstein's Relativity on Christian Thought,Talk given by Prof. John Pilbrow as part of Short Course 5: Science and Religion in Schools,christianity; einstein; faraday; physics; pilbrow; relativity; religion; science,https://sms.cam.ac.uk/media/2742146
The Interaction between Science and Theology,Lecture given as part of Short Course 14 (Science and Religion in Schools) by Revd Dr John Polkinghorne,faraday institute; interaction; john; polkinghorne; religion; schools; science; theology,https://sms.cam.ac.uk/media/539653
The Language of God: A Believer looks at the Human Genome,Talk given by Dr Francis Collins as part of short  course 7,believer; christian; collins; faraday; francis; genome; god; human; language; religion; science,https://sms.cam.ac.uk/media/1229069
The laws of physics and God's action,Talk by Prof. Barbara Drossel as part of Summer Course 10,action; drossel; faraday; god; physics; religion; science,https://sms.cam.ac.uk/media/2037961
The Mediaeval Church encounters the Classical Tradition: St Augustine and Roger Bacon,Talk given by Prof. David Lindberg as part of summer course 1,augustine; bacon; church; classic; classical; faraday; history; lindberg; mediaeval; religion; science; tradition,https://sms.cam.ac.uk/media/1277009
The Mind-Body Problem and Theology,A lecture given by Dr Bill Struthers as part of Summer Course 5,5; bill; body; faraday institute; mind; problem; religion; science; struthers; summer course; theology,https://sms.cam.ac.uk/media/870544
"The Multiverse, Ultimate Causation and God",Public Lecture given by Prof. George Ellis,causation; ellis; faraday; god; multiverse; religion; science,https://sms.cam.ac.uk/media/1206135
The mythical conflict: Have science and religion got on better than people think?,Talk given by Dr James Hannam as part of Summer Course 11,conflict; faraday; hannam; myth; religion; science,https://sms.cam.ac.uk/media/2307256
The Nature of Childhood Theism,A lecture given by Dr Justin Barrett as part of Faraday Institute Short Course 15 (Neurosciences and Religion),barrett; childhood; faraday institute; justin; lecture; nature; neurosciences; religion; science; theism,https://sms.cam.ac.uk/media/653021
"The Necessity of Chance: Randomness, Purpose and the Sovereignty of God",Research Seminar given by Prof. Paul Ewart,chance; ewart; faraday institute; god; necessity; paul; purpose; random; randomness; religion; science; sovereignty,https://sms.cam.ac.uk/media/686997
The Neurobiology of Beauty and its Implications,"Talk given by Prof. Semir Zeki FRS, 10 October 2017",beauty; faraday; mathematical; musical; neurobiology; neuroscience; religion; science; visual; zeki,https://sms.cam.ac.uk/media/2603524
The Neuroscience of Virtue,A lecture given by Prof. Warren Brown as part of Faraday Institute Short Course 15 (Neurosciences and Religion),brown; faraday institute; neuroscience; religion; science; virtue; warren,https://sms.cam.ac.uk/media/652872
Theological and philosophical responses to new atheism,Talk given by Alister McGrath as part of Summer Course 10,atheism; faraday; mcgrath; philosophy; religion; response; science; theology,https://sms.cam.ac.uk/media/2033898
Theological Issues arising from Evolution,Talk given by Dr Chris Southgate as part of Summer Course 10,evolution; faraday; religion; science; southgate; theology,https://sms.cam.ac.uk/media/2042042
Theological Issues Arising from Evolution,Talk given by Dr Denis Alexander at Introduction to Science and Religion Course January 2014,alexander; evolution; faraday; religion; science; theology,https://sms.cam.ac.uk/media/1640117
Theological Issues Arising from Evolution,"Talk given by Dr Denis Alexander at Short Course 25, 13th January 2014",alexander; evolution; theological,https://sms.cam.ac.uk/media/1662139
Theological Issues Raised by Neuroscience,A lecture given by Revd Dr Fraser Watts at Faraday Institute Short Course 15 (Neurosciences and Religion),faraday institute; fraser; neuroscience; religion; science; theological; watts,https://sms.cam.ac.uk/media/653168
Theologies of Creation: The Foundation for Environmental Concern,"Lecture given by Dr Hilary Marlow as part of Short Course 16: Science, Religion and the Environment for ordinands",concern; creation; environment; environmental; faraday institute; foundation; hilary; marlow; religion; science; theology,https://sms.cam.ac.uk/media/728749
Theologies of Nature,Talk given by Prof. Ernan McMullin as part of summer course 1,creation; faraday; mcmullin; nature; religion; science; theology,https://sms.cam.ac.uk/media/1276496
Theology and Physics,Talk given by Revd Dr John Polkinghorne as part of summer course 7,faraday; physics; polkinghorne; religion; science; theology,https://sms.cam.ac.uk/media/1283290
Theology and the Neurosciences,Talk given by Prof. Bill Newsome as part of Summer Course 2,faraday; neuroscience; newsome; religion; science; theology,https://sms.cam.ac.uk/media/1230255
Theology in a Scientific Context,A lecture by Revd Dr John Polkinghorne given as part of Faraday Institute Summer Course 4,context; faraday institute; john; polkinghorne; religion; science; scientific; theology,https://sms.cam.ac.uk/media/656777
The Origin of Life,Talk given by Dr Ard Loius as part of summer course 1,faraday; life; louis; origin; religion; science,https://sms.cam.ac.uk/media/1266008
The Origins of Humanity: Cultural and Religious Development,"Talk given by Dr Cara Wall-Scheffler at Summer Course 9, 6-11th July 2014",anthropology; faraday; religion; wall-scheffler,https://sms.cam.ac.uk/media/1781053
The Penultimate Curiosity,"Research Seminar given by Prof. Andrew Briggs, 12th May 2015",briggs; curiosity; faraday; penultimate; religion; science,https://sms.cam.ac.uk/media/1978924
The Power of the Media in the Science - Religion Dialogue,Panel Discussion as part of the Cambridge Festival of Ideas 2015,ahmed; alexander; elsdon baker; faraday; longley; media; religion; science,https://sms.cam.ac.uk/media/2103326
"The presupposition of science, the Bible and Christian faith",Talk given by Prof. Rene van Woudenberg at Summer Course 2018,faith; faraday; philiosophy; science; van woudenberg,https://sms.cam.ac.uk/media/2794617
The psychology of religion/spirituality and disasters,Talk given by Dr Jamie Aten as part of Summer Course 10,aten; disaster; faraday; natural disasters; psychology; religion; science; spirituality,https://sms.cam.ac.uk/media/2034100
The Rationality of Science,Talk given by Prof. Roger Trigg as part of Summer Course 1,faraday; rationality; religion; science; trigg,https://sms.cam.ac.uk/media/2723928
The Reception of Darwinism,Talk given by Prof. Edward Larson as part of summer course 3,darwinism; faraday; larson; reception; religion; science,https://sms.cam.ac.uk/media/1213720
The Reception of Darwinism,A lecture given by Prof. John Hedley-Brooke as part of Faraday Institute Summer Course 4,darwinism; faraday institute; john hedley brooke; reception; religion; science; summer course,https://sms.cam.ac.uk/media/653450
The Reception of Evolutionary Ideas in the Muslim World,"Seminar given by Dr Damian Howard SJ, March 2016",biology; evolution; faraday; howard; islamic; lslam; muslim; religion; science,https://sms.cam.ac.uk/media/2212481
The Religious and Ethical Beliefs of Scientists,Talk given by Dr Elaine Howard Ecklund as part of summer course 7,beliefs; ecklund; ethical; faraday; religion; religious; science; scientists,https://sms.cam.ac.uk/media/1290100
