title,description,keywords,url
Brain science and the church,Talk given by Revd Prof. Alasdair Coles at the Science and Faith Workshop 2018,coles; ethics; faith; faraday; medical ethics; neurology; science,https://sms.cam.ac.uk/media/2655137
"Building Better Bridges - Science and faith working together historically, nationally and locally.",Talk and discussion given by Rt Revd Dr David Thomson - Bishop of Huntingdon,bishop david; collaboration; faith; faraday institute; historically; locally; nationally; science,https://sms.cam.ac.uk/media/2408611
Calvin's Contributions to the Emergence of Modern Science,Research Seminar given by Prof. Alister  McGrath on at the Faraday Institute 17th November 2009,alister; calvin; contributions; emergence; faraday institute; mcgrath; modern; religion; science,https://sms.cam.ac.uk/media/692386
Can a Christian be a Darwinian?,Talk given by Prof. Michael Ruse as part of short course 7,christian; darwinian; darwinism; evolution; faraday; religion; ruse; science,https://sms.cam.ac.uk/media/1229952
Can a Scientist Believe the Resurrection,Public lecture given by Revd Dr Tom Wright,believe; faraday; religion; resurrection; science; scientist; wright,https://sms.cam.ac.uk/media/1206473
Can a Scientist Pray?,Talk given by Revd Dr John Polkinghorne as part of short course 9,faraday; polkinghorne; pray; religion; science; scientist,https://sms.cam.ac.uk/media/1225706
Can Biology Explain Religion?,Talk given by Prof. Jeff Schloss as part of short course 7,biology; explain; faraday; religion; schloss; science,https://sms.cam.ac.uk/media/1227896
"Cancer and Cures, Medicine and Miracles",Research seminar given by Prof Douglas Lauffenburger.,cancer; cure; faraday; lauffenburger; medicine; miracles; religion; science,https://sms.cam.ac.uk/media/1854507
Can Genetics Help Feed Africa,Research seminar given by Prof. Sir Brian Heap,africa; bioscience; faraday; feed; genetic modification; genetics; heap; religion; science,https://sms.cam.ac.uk/media/1726790
Can God know the Future? Reflections on the Block Universe,Dialogue between Prof. Chris Isham and Revd Dr John Polkinghorne as part of short course 6,block; dialogue; faraday; future; god; isham; know; physics; polkinghorne; religion; science; universe,https://sms.cam.ac.uk/media/1256550
Can God Play Dice? Chance and the Question of Metaphysical Continuity between Creator and Creation.,Seminar given by Prof. Ian MacFarland,chance; creation; faraday; god; macfarland; metaphysics; religion; science,https://sms.cam.ac.uk/media/2434197
Can Religion be as Rational as Science?,Talk given by Prof. Roger Trigg as part of short course 9,faraday; philosophy; rational; religion; science; trigg,https://sms.cam.ac.uk/media/1225874
Can science and religion get on? Some lessons from history,Talk given as part of short course 31 by Dr James Hannam,faraday; hannam; history; relationship; religion; science,https://sms.cam.ac.uk/media/1960032
Can Scientists Believe in Miracles,Public Lecture given by Prof. Sir Colin Humpreys,believe; faraday; humphreys; miracles; religion; science; scientist,https://sms.cam.ac.uk/media/1212973
"Can We Enhance the Imago Dei? A Theological Assessment of Genetic Alteration, Nanotechnology and Transhumanism",Lecture given by Ted Peters as part of the Sustainability in Crisis Conference on 28th September 2011,crisis; enhancement; faraday; genetics; human; image of god; nanotechnology; peters; religion; science; sustainability; theology; transhumanism,https://sms.cam.ac.uk/media/2765966
"Can We Enhance the Imago Dei? A Theological Assessment of Genetic Alteration, Nanotechnology and Transhumanism",Lecture given by Prof. Ted Peters as part of Summer Course 6,6; enhance; faraday; genetic; imago dei; nanotechnology; peters; religion; science; theological; transhumanism,https://sms.cam.ac.uk/media/1165908
